Amusing_Name,redshift_amusing,def_name,SN_name_1,SN_type,pgc,hyperleda_name,other_names(pgc),objtype,RA_hours_hyperleda,RA_degrees_hyperleda,DEC_deggrees_hyperleda,Delta_RA(arcsec),Delta_dec(arcsec),l2,b2,type,bar,ring,compactness,t,e_t,logd25,e_logd25,logr25,e_logr25,pa,brief,e_brief,bt,e_bt,it,e_it,ubt,bvt,vmaxg,e_vmaxg,vmaxs,e_vmaxs,vdis,e_vdis,m21,e_m21,vrad,e_vrad,v,e_v,ag,ai,incl,btc,ubtc,bvtc,bri25,vrot,e_vrot,modz,mod0,mabs,Pointings,RA_pointing,DEC_pointing,RA_SN,DEC_SN,Source
ESO325-G045,0.017842,ESO 325- G 045,ASASSN15ab,Iin,50052,ESO325-045,PGC050052/MCG-06-31-017/ESOLV3250450/ESO325-045/6dFJ1403085-382831/2MFGC11377/2MASXJ14030932-3828343,G,14.0525063,210.7875945,-38.4757578,-0.78402,0.172808,318.0279608,22.2847593,Scd,B,,,7.0,0.4,0.903,0.071,0.092,0.024,68.16,22.42,0.305,14.424,0.281,,,,,,,,,,,,,,,5325.9,64.0,0.475,0.166,40.19,13.764,,,22.495,,,34.387,,-20.623,1.0,14:03:09,-38:28:31,14:03:06,-38:28:30,P96
NGC3449,0.010921,NGC 3449,ASASSN15aj,Ia,32666,NGC3449,PGC032666/NGC3449/MCG-05-26-010/LGG222:[G93]003/IRAS10505-3240/IRAS10505-3239/ESOLV3760250/ESO376-025/AGC027580/2MASXJ10525364-3255394,G,10.8815302,163.222953,-32.9268589,0.13692,-0.230796,275.9839046,23.6683399,SABa,B,R,,2.1,1.0,1.564,0.029,0.582,0.039,145.18,20.607,0.649,12.984,0.381,10.758,0.044,,,238.47,2.66,,,,,14.424,0.096,3276.5,3.7,3280.2,4.9,0.33,0.661,90.0,11.96,,,23.768,238.47,,33.275,33.283,-21.315,6.0,10:52:52/10:52:55/10:52:50/10:52:53/10:52:54/10:52:57,-32:55:53/-32:55:25/-32:55:12/-32:54:44/-32:56:34/-32:56:06,10:52:53,-32:55:35,P96
NGC2906,0.007138,NGC 2906,SN2005ip,Iin,27074,NGC2906,UGC05081/SDSSJ093206.21+082630.3/PGC027074/NGC2906/MCG+02-25-001/IRAS09294+0839/CGCG063-001/AGC005081/2MASXJ09320624+0826308,G,9.5350634,143.025951,8.4418294,-0.04236,-0.058584,224.9031598,39.4031992,Sc,,,,5.9,0.5,1.132,0.076,0.226,0.047,70.71,21.779,0.389,13.173,0.359,11.785,0.114,,,156.6,3.24,,,,,15.68,0.247,2141.7,4.1,2296.7,43.8,0.205,0.399,54.9,12.559,,,22.13,191.4,4.16,32.623,33.152,-20.064,1.0,09:32:06,08:26:31,09:32:06,08:26:44,SV
IRAS05177-3242,0.012445,ESO 362- G 018,SN2010jr,II,17103,ESO362-018,PGC017103/MCG-05-13-017/IRAS05177-3242/ESOLV3620180/ESO362-018/6dFJ0519358-323928/2MASXJ05193580-3239280,G,5.3266093,79.8991395,-32.6577983,0.00978,0.107388,236.0223151,-32.5713755,S0-a,B,,,0.1,0.7,1.139,0.058,0.322,0.052,144.74,19.884,0.343,13.87,0.223,11.885,0.072,,,102.49,4.98,,,,,16.102,0.245,3732.5,6.3,3707.1,15.4,0.074,0.14,70.93,13.6,,,23.101,108.44,5.33,33.515,,-19.915,1.0,05:19:36,-32:39:23,05:19:35,-32:39:15,SV
NGC6754,0.010864,NGC 6754,SN2000do/SN2005cu/SN1998dq/SN1998X,Ia/II/Ia/II,62871,NGC6754,PGC062871/NGC6754/IRAS19075-5043/ESOLV2310250/ESO231-025/2MASXJ19112575-5038319,G,19.1904861,287.8572915,-50.6421944,-0.07494,0.089984,346.5515175,-23.686655,Sb,B,,,3.1,0.6,1.306,0.034,0.271,0.033,76.95,21.93,0.365,12.894,0.066,11.1,0.044,,0.79,200.0,3.25,,,,,14.873,0.201,3236.0,6.5,3242.1,16.5,0.303,0.399,60.77,12.168,,0.65,22.712,229.18,3.84,33.246,32.9,-21.078,2.0,19:11:23/19:11:29,-50:38:32/-50:38:32,19:11:26/19:11:25/19:11:24/19:11:23,-50:38:25/-50:38:29/-50:38:26/-50:38:34,SV
NGC7742,0.005547,NGC 7742,SN1993R/SN2014cy,Ia/IIP,72260,NGC7742,UGC12760/PGC072260/NGC7742/MCG+02-60-010/KUG2341+104/IRAS23417+1029/HIPASSJ2344+10/CGCG432-023/2MASXJ23441571+1046015,G,23.7376972,356.065458,10.7670833,-0.01488,-0.049988,97.4326963,-48.7503514,Sb,,R,,2.8,0.7,1.232,0.039,0.018,0.042,,20.191,0.306,12.286,0.047,10.649,0.109,0.02,0.71,32.43,0.77,,,81.02,7.25,15.08,0.092,1653.2,4.5,1652.8,4.3,0.239,0.026,16.8,12.009,-0.032,0.64,22.155,112.22,4.93,31.968,,-19.959,1.0,23:44:16,10:46:02,23:44:16/23:44:16,10:46:09/10:46:13,SV
IC1158,0.006428,IC 1158,SN2000cb,II-87A,56723,IC1158,UGC10133/PGC056723/MCG+00-41-002/IRAS15590+0150/IC1158/HIPASSJ1601+01/CGCG023-008/2MASXJ16013407+0142281,G,16.0261318,240.391977,1.7078363,0.03828,-0.021068,12.0558378,37.8951543,SABc,B,R,,5.1,0.7,1.276,0.038,0.302,0.024,134.29,,,13.841,0.121,11.888,0.089,,0.75,106.18,2.43,,,,,15.186,0.124,1926.4,3.2,1926.6,1.9,0.493,0.514,62.19,12.823,,0.569,23.384,120.05,2.79,32.341,32.125,-19.518,2.0,16:01:33/16:01:31,1:42:40/1:43:16,16:01:32,01:42:23,SV
NGC7469,0.016317,NGC 7469,SN2000ft/SN2008ec,II/Ia,70348,NGC7469,UGC12332/PGC070348/NGC7469/MCG+01-58-025/KPG575A/IRAS23007+0836/CGCG405-026/ARP298:/2MASXJ23031567+0852252,G,23.0543354,345.815031,8.8739189,-0.01116,-0.010804,83.0983607,-45.466675,Sa,B,,,1.1,0.3,1.139,0.032,0.056,0.032,126.0,18.466,0.308,12.898,0.088,,,-0.4,0.615,165.72,6.85,,,133.0,6.42,16.348,0.25,4917.3,4.6,4909.1,14.9,0.298,0.056,30.24,12.483,-0.448,0.494,22.267,329.02,15.02,34.281,34.252,-21.799,1.0,23:03:16,08:52:26,23:03:16/23:03:17,8:52:26/8:52:20,SV
NGC1365,0.005457,NGC1365,SN2012fr,Ia,13179,NGC1365,VV825/PGC013179/NGC1365/MRC0331-363/MCG-06-08-026/LGG094:[G93]007/IRAS03317-3618/HIPASSJ0333-36/FCC121/ESOLV3580170/ESO358-017/AGC022699/6dFJ0333364-360826/2MASXJ03333645-3608263,G,3.5601111,53.4016665,-36.1405075,,,237.9563556,-54.5979272,Sb,B,,,3.2,0.6,2.08,0.019,0.292,0.036,19.96,22.063,0.325,10.358,0.168,8.38,0.05,0.16,0.69,176.11,2.59,,,143.0,18.94,12.442,0.081,1636.9,2.7,1638.3,4.1,0.089,0.43,62.7,9.827,0.094,0.605,24.012,198.19,3.02,31.579,31.189,-21.752,1.0,03:33:36,-36:08:26,03:33:36,-36:07:38,arx
NGC6240,0.024480,NGC6240,PS1-14xw,Ia,59186,NGC6240,VV617/UGC10592/PGC059186/NGC6240/MRC1650+024/MCG+00-43-004/IRAS16504+0229/IRAS16504+0228/IC4625/CGCG025-011/4C+02.44/2MASXJ16525886+0224035,G,16.8830167,253.24525,2.4009722,,,20.7289438,27.291123,S0-a,,,,0.0,2.6,1.342,0.054,0.328,0.063,12.21,,,13.817,0.186,,,0.32,0.88,293.56,25.37,,,335.51,11.88,16.143,0.359,7242.0,45.3,7292.9,8.0,0.33,0.122,72.01,13.256,0.242,0.683,24.08,308.66,26.9,35.168,,-21.912,1.0,16:52:59.0,02:24:02.0,16:52:58.12,+02:23:50.4,arx
anon80,,,LSQ12dbr,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:58:51.96,-02:58:26.1,,,
ESO472-G007,,,LSQ12gdj,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23:54:44.53,-25:40:31.0,,,
2MASXJ09591230-0900095,,,LSQ12hzj,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:59:12.36,-09:00:09.3,,,
2MASXJ02500784-0016014,,,PTF12iiq,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:50:07.69,-00:15:55.4,,,
2MASXi0415016-152053,,,PTF12jgb,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:15:01.51,-15:20:52.7,,,
NGC5128,,,SN1986G,Ia-91bg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:25:36.19,-43:01:55.2,,,
NGC4526,,,SN1994D,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:34:02.37,+07:42:04.7,,,
UGC10738,,,SN2001cp,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:11:06.20/17:11:03.20,+05:51:16.0/+05:50:43.0,,,
NGC7780,,,SN2001da,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23:53:32.27,+08:07:06.0,,,
NGC1448,,,SN2001el,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:44:30.48,-44:38:26.7,,,
NGC5468,,,SN2002cr,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:06:37.66,-05:26:20.9,,,
NGC6962,,,SN2002ha,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:47:18.65,+00:18:46.6,,,
NGC7253B,,,SN2002jg,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22:19:31.28,+29:23:23.0,,,
NGC7771,,,SN2003hg,IIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23:51:24.06,+20:06:37.3,,,
NGC3997,,,SN2004aw,Ic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:57:50.24,+25:15:55.1,,,
ESO552-G40,,,SN2004ff,IIb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:58:46.93,-21:34:11.0,,,
ESO488-G30,,,SN2005gn,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:48:49.14,-24:22:44.5,,,
IC672,,,SN2005lw,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:08:03.35,-12:29:07.4,,,
NGC3363,,,SN2005Z,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:45:09.18,+22:04:38.3,,,
IC4582,,,SN2006be,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:45:39.55/15:45:39.40,+28:05:46.0/+28:05:54.0,,,
UGC11214,,,SN2006ca,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:22:54.29,+12:26:05.2,,,
UGC9530,,,SN2006cu,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:47:42.50,+09:39:34.0,,,
NGC5338,,,SN2006E,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:53:28.58/13:53:24.72,+05:12:21.8/+05:12:23.8,,,
NGC4321,,,SN2006X,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:22:53.99,+15:48:33.1,,,
NGC5584,,,SN2007af,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:22:21.03,-00:23:35.6,,,
UGC12859,,,SN2007fb,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23:56:52.44,+05:30:32.8,,,
ESO601-G05,,,SN2007fs,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22:01:40.14/22:01:36.00,-21:30:38.0/-21:30:40.0,,,
ESO298-G28,,,SN2007gj,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:19:38.22/02:19:37.60/02:19:36.48,-37:48:49.0/-37:49:08.0/-37:49:29.0,,,
NGC7721,,,SN2007le,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23:38:48.41,-06:31:21.3,,,
UGC7798,,,SN2007rw,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:38:03.23,-02:15:51.0,,,
NGC1590,,,SN2007rz,Ic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:31:10.13,+07:37:50.0,,,
NGC4038,,,SN2007sr,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:01:52.94,-18:58:19.7,,,
2MASXJ16152860+1913344,,,SN20080612,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:15:28.67,+19:13:35.0,,,
MCG-02-33-20,,,SN2008aq,IIb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:50:30.15,-10:52:05.4,,,
PGC0091487,,,SN2008cg,IIn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:54:15.44,+10:58:12.0,,,
2MASXJ00351050+2315184,,,SN2008dh,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:35:11.47,+23:15:17.1,,,
ESO428-G14,,,SN2008fp,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:16:29.48/07:16:33.00,-29:19:08.0/-29:19:49.0,,,
NGC6907,,,SN2008fq,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:25:06.26,-24:48:26.6,,,
ESO125-G06,,,SN2008ia,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:50:35.01,-61:16:41.6,,,
MCG-02-07-33,,,SN2008J,IIn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:34:26.64/02:34:24.57/02:34:23.57,-10:50:35.0/-10:50:36.0/-10:50:36.0,,,
NGC1591,,,SN2008V,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:29:31.37,-26:42:38.8,,,
IC2554,,,SN2009dq,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:08:49.95,-67:01:57.4,,,
NGC3905,,,SN2009ds,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:49:06.73/11:49:03.00,-09:43:47.0/-09:43:50.0,,,
NGC5026,,,SN2009ev,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:14:14.19,-42:58:29.8,,,
NGC1015,,,SN2009ig,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:38:11.68,-01:18:46.1,,,
NGC1620,,,SN2009K,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:36:36.90,-00:08:33.6,,,
ESO478-G006,,,SN2009le,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:09:15.86/02:09:20.65,-23:24:52.0/-23:24:52.0,,,
NGC5426,,,SN2009mz,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:03:24.64,-06:03:31.3,,,
UGC8255,,,SN2009nr,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:10:58.95,+11:29:29.3,,,
UGC2019,,,SN2010A,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:32:39.53,+00:37:11.2,,,
NGC3244,,,SN2010ev,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:25:31.21/10:25:28.80/10:25:26.30,-39:49:42.0/-39:49:39.0/-39:49:39.0,,,
NGC4984,,,SN2011iy,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:08:58.18,-15:31:05.1,,,
NGC4772,,,SN2012cu,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:53:29.35/12:53:29.35,+02:09:39.0/+02:10:04.0,,,
MCG+04-55-47,,,SN2012et,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23:42:38.75,+27:05:30.5,,,
ESO235-G37,,,SN2012fw,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:01:59.19,-48:16:23.9,,,
IC1657,,,SN2012hd,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:14:07.86,-32:39:05.7,,,
ESO121-G26,,,SN2012hr,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:21:38.33,-59:42:51.6,,,
NGC3447,,,SN2012ht,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:53:22.75,+16:46:34.9,,,
NGC5643,,,SN2013aa,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:32:34.07,-44:13:25.8,,,
NGC5339,,,SN2013aj,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:54:00.48,-07:55:46.8,,,
#OBSERVED NOT AUTOMATICALLY REDUCED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC6118,,,SN2004dk,Ib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:21:49.00,-02:16:16.3,,,
UGC11723,,,SN2006cm,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:20:17.57,-01:41:03.0,,,
NGC4939,,,SN2008aw,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:04:14.12,-10:19:12.3,,,
NGC4424,,,SN2012cg,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:27:12.83,+09:25:13.2,,,
#TO BE COMBINED. ALSO ASASSSN13dd HAS A SECOND POINTING!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC2765,,,SN2008hv,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:07:35.13,+03:23:43.0,,,
NGC2765,0.012549,NGC 2765,ASASSN13dd,Ia,25646,NGC2765,UGC04791/SDSSJ090736.64+032334.5/SDSSJ090736.64+032334.4/PGC025646/NGC2765/MCG+01-24-001/KIG0303/CGCG033-061/2MASXJ09073666+0323347,G,91.268.468,136.902.702,33.929.109,-0.07272,-0.047924,2.266.651.772,316.241.911,S0,,,,-1.9,0.7,1.438,0.05,0.469,0.044,105.45,22.384,0.266,13.166,0.239,11.714,0.112,,,,,,,190.98,12.31,,,,,3774.6,1.2,0.139,0.0,90.0,12.97,,,24.023,,,33.686,,-20.716,1.0,09:07:35,03:23:34,09:07:37,03:23:39,P96
